country_name,country_code,region,year,under_5_mortality_rate,life_expectancy,maternal_mortality_ratio,tuberculosis_incidence,dpt_immunization_pct,improved_sanitation_access_pct,health_exp_per_capita_usd
Burundi,BDI,East Africa,2010,10.509,57.088,193.0,154.0,91.3,10.3,39.29
Burundi,BDI,East Africa,2011,10.072,57.804,175.0,148.0,98.4,10.0,30.18
Burundi,BDI,East Africa,2012,9.601,58.501,185.0,142.0,89.6,10.0,44.04
Burundi,BDI,East Africa,2013,9.201,59.179,197.0,136.0,100.0,23.4,46.48
Burundi,BDI,East Africa,2014,8.845,59.764,157.0,130.0,100.0,12.2,37.39
Burundi,BDI,East Africa,2015,8.688,60.107,154.0,124.0,94.2,21.0,54.11
Burundi,BDI,East Africa,2016,8.209,60.789,185.0,118.0,88.2,19.3,59.55
Burundi,BDI,East Africa,2017,7.864,61.345,165.0,112.0,100.0,29.2,67.56
Burundi,BDI,East Africa,2018,7.559,61.806,136.0,106.0,96.4,29.9,69.57
Burundi,BDI,East Africa,2019,7.394,62.18,153.0,102.0,100.0,37.0,47.12
Burundi,BDI,East Africa,2020,7.191,62.569,130.0,97.0,89.2,26.2,53.47
Burundi,BDI,East Africa,2021,7.306,62.101,134.0,93.0,94.1,26.2,65.66
Burundi,BDI,East Africa,2022,6.997,62.882,142.0,89.0,97.2,23.7,69.55
Ethiopia,ETH,East Africa,2010,8.98,59.709,124.0,269.0,96.6,15.3,53.7
Ethiopia,ETH,East Africa,2011,8.534,60.595,121.0,253.0,94.3,25.4,91.5
Ethiopia,ETH,East Africa,2012,8.118,61.443,137.0,238.0,99.9,31.8,62.92
Ethiopia,ETH,East Africa,2013,7.78,62.161,122.0,224.0,91.5,21.3,72.16
Ethiopia,ETH,East Africa,2014,7.461,62.927,143.0,211.0,96.3,38.7,74.18
Ethiopia,ETH,East Africa,2015,7.206,63.592,113.0,200.0,97.7,45.2,74.47
Ethiopia,ETH,East Africa,2016,6.999,64.162,98.0,189.0,99.8,40.0,67.66
Ethiopia,ETH,East Africa,2017,6.786,64.766,151.0,179.0,100.0,54.1,81.42
Ethiopia,ETH,East Africa,2018,6.631,65.257,113.0,170.0,91.7,34.8,68.56
Ethiopia,ETH,East Africa,2019,6.481,65.741,115.0,163.0,89.7,33.0,76.34
Ethiopia,ETH,East Africa,2020,6.403,65.969,84.0,156.0,100.0,29.6,74.99
Ethiopia,ETH,East Africa,2021,6.638,65.33,106.0,151.0,99.0,53.3,77.47
Ethiopia,ETH,East Africa,2022,6.093,66.897,107.0,146.0,93.8,52.8,107.63
Kenya,KEN,East Africa,2010,7.424,60.915,130.0,531.0,100.0,23.2,35.9
Kenya,KEN,East Africa,2011,7.275,61.283,157.0,506.0,97.7,27.4,63.28
Kenya,KEN,East Africa,2012,7.208,61.537,136.0,471.0,100.0,17.1,41.56
Kenya,KEN,East Africa,2013,7.175,61.729,140.0,443.0,97.5,46.5,53.93
Kenya,KEN,East Africa,2014,7.149,61.99,132.0,423.0,100.0,29.0,70.84
Kenya,KEN,East Africa,2015,7.14,62.279,179.0,380.0,100.0,30.0,62.04
Kenya,KEN,East Africa,2016,7.169,62.526,140.0,348.0,95.9,35.9,51.85
Kenya,KEN,East Africa,2017,7.126,62.725,117.0,319.0,100.0,34.7,56.47
Kenya,KEN,East Africa,2018,7.186,62.825,154.0,292.0,100.0,33.1,70.92
Kenya,KEN,East Africa,2019,7.294,62.939,112.0,267.0,100.0,25.4,57.39
Kenya,KEN,East Africa,2020,7.937,61.596,151.0,248.0,92.0,30.2,60.14
Kenya,KEN,East Africa,2021,8.124,61.225,111.0,247.0,100.0,40.0,56.58
Kenya,KEN,East Africa,2022,7.212,63.549,105.0,238.0,100.0,45.0,61.23
Rwanda,RWA,East Africa,2010,7.347,62.804,142.0,82.0,88.3,44.0,85.46
Rwanda,RWA,East Africa,2011,7.043,63.476,147.0,76.0,91.3,29.8,73.72
Rwanda,RWA,East Africa,2012,6.759,64.189,130.0,72.0,87.1,28.8,50.69
Rwanda,RWA,East Africa,2013,6.598,64.651,120.0,70.0,96.0,37.6,75.12
Rwanda,RWA,East Africa,2014,6.478,65.088,113.0,68.0,100.0,40.8,68.82
Rwanda,RWA,East Africa,2015,6.401,65.419,87.0,66.0,100.0,50.4,85.62
Rwanda,RWA,East Africa,2016,6.336,65.733,100.0,65.0,97.8,29.4,70.74
Rwanda,RWA,East Africa,2017,6.234,66.14,102.0,65.0,100.0,56.8,79.55
Rwanda,RWA,East Africa,2018,6.206,66.354,130.0,64.0,90.6,44.2,86.82
Rwanda,RWA,East Africa,2019,6.132,66.691,113.0,63.0,89.0,43.3,92.11
Rwanda,RWA,East Africa,2020,6.089,66.953,69.0,63.0,97.3,39.7,72.76
Rwanda,RWA,East Africa,2021,6.185,66.85,112.0,63.0,99.4,34.2,80.9
Rwanda,RWA,East Africa,2022,5.993,67.528,92.0,62.0,97.4,56.7,82.89
Uganda,UGA,East Africa,2010,8.263,59.959,147.0,210.0,86.4,20.4,43.26
Uganda,UGA,East Africa,2011,7.824,60.791,166.0,207.0,96.4,12.8,71.61
Uganda,UGA,East Africa,2012,7.419,61.579,168.0,205.0,90.5,16.0,61.94
Uganda,UGA,East Africa,2013,7.038,62.353,160.0,203.0,100.0,26.7,49.16
Uganda,UGA,East Africa,2014,6.699,63.057,119.0,202.0,99.2,45.6,74.46
Uganda,UGA,East Africa,2015,6.372,63.831,123.0,202.0,92.8,33.2,90.38
Uganda,UGA,East Africa,2016,6.073,64.494,131.0,201.0,95.0,26.0,82.79
Uganda,UGA,East Africa,2017,5.82,65.174,138.0,201.0,92.4,38.7,60.68
Uganda,UGA,East Africa,2018,5.613,65.775,104.0,200.0,97.4,40.9,74.03
Uganda,UGA,East Africa,2019,5.42,66.354,105.0,200.0,100.0,23.8,94.44
Uganda,UGA,East Africa,2020,5.373,66.41,87.0,199.0,92.9,45.2,74.97
Uganda,UGA,East Africa,2021,5.339,66.45,84.0,199.0,100.0,44.0,86.69
Uganda,UGA,East Africa,2022,5.035,67.675,115.0,198.0,95.3,56.3,96.12
Syrian Arab Republic,SYR,Middle East,2010,3.824,73.542,79.0,30.0,94.5,89.0,108.44
Syrian Arab Republic,SYR,Middle East,2011,4.334,72.259,60.0,29.0,97.7,78.0,110.7
Syrian Arab Republic,SYR,Middle East,2012,6.829,66.206,130.0,24.0,92.1,42.7,48.62
Syrian Arab Republic,SYR,Middle East,2013,7.514,65.146,126.0,23.0,94.2,31.7,65.49
Syrian Arab Republic,SYR,Middle East,2014,7.353,65.492,103.0,31.0,91.1,62.6,74.93
Syrian Arab Republic,SYR,Middle East,2015,8.223,63.265,141.0,26.0,100.0,33.5,53.85
Syrian Arab Republic,SYR,Middle East,2016,7.323,65.19,149.0,27.0,97.2,40.9,92.27
Syrian Arab Republic,SYR,Middle East,2017,7.246,65.651,114.0,24.0,93.6,42.4,63.95
Syrian Arab Republic,SYR,Middle East,2018,6.544,67.371,132.0,22.0,98.5,51.1,82.45
Syrian Arab Republic,SYR,Middle East,2019,5.284,70.97,20.0,21.0,97.3,62.7,106.16
Syrian Arab Republic,SYR,Middle East,2020,5.058,71.944,81.0,20.0,96.9,63.2,124.13
Syrian Arab Republic,SYR,Middle East,2021,4.964,72.418,62.0,24.0,100.0,65.3,97.73
Syrian Arab Republic,SYR,Middle East,2022,4.773,72.79,52.0,22.0,100.0,70.9,125.58
Afghanistan,AFG,South Asia,2010,8.402,60.702,156.0,218.0,94.0,18.5,53.61
Afghanistan,AFG,South Asia,2011,8.032,61.25,110.0,204.0,93.9,19.3,46.43
Afghanistan,AFG,South Asia,2012,7.822,61.735,142.0,194.0,95.5,27.8,63.3
Afghanistan,AFG,South Asia,2013,7.597,62.188,150.0,194.0,85.5,26.7,62.93
Afghanistan,AFG,South Asia,2014,7.511,62.26,171.0,197.0,89.4,41.1,55.3
Afghanistan,AFG,South Asia,2015,7.528,62.27,131.0,200.0,100.0,10.0,62.05
Afghanistan,AFG,South Asia,2016,7.32,62.646,123.0,204.0,100.0,39.3,59.38
Afghanistan,AFG,South Asia,2017,7.315,62.406,131.0,209.0,95.8,39.6,63.17
Afghanistan,AFG,South Asia,2018,7.271,62.443,159.0,212.0,100.0,13.2,68.84
Afghanistan,AFG,South Asia,2019,7.064,62.941,143.0,213.0,98.7,29.0,80.57
Afghanistan,AFG,South Asia,2020,7.565,61.454,138.0,205.0,100.0,22.8,44.89
Afghanistan,AFG,South Asia,2021,8.002,60.417,167.0,206.0,100.0,10.4,73.42
Afghanistan,AFG,South Asia,2022,5.993,65.617,117.0,206.0,97.0,36.2,58.56
Pakistan,PAK,South Asia,2010,7.691,64.378,144.0,276.0,92.1,28.6,70.37
Pakistan,PAK,South Asia,2011,7.575,64.659,109.0,276.0,88.9,52.7,79.18
Pakistan,PAK,South Asia,2012,7.482,64.883,114.0,276.0,98.0,47.0,77.22
Pakistan,PAK,South Asia,2013,7.377,65.129,111.0,275.0,93.3,50.7,69.42
Pakistan,PAK,South Asia,2014,7.272,65.374,88.0,270.0,90.0,47.3,74.79
Pakistan,PAK,South Asia,2015,7.164,65.641,121.0,270.0,93.9,33.5,73.27
Pakistan,PAK,South Asia,2016,7.039,65.943,118.0,268.0,91.8,39.6,73.82
Pakistan,PAK,South Asia,2017,6.94,66.223,110.0,267.0,100.0,48.8,89.61
Pakistan,PAK,South Asia,2018,6.852,66.481,103.0,265.0,100.0,36.1,85.98
Pakistan,PAK,South Asia,2019,6.772,66.729,78.0,263.0,97.3,52.6,76.72
Pakistan,PAK,South Asia,2020,7.301,65.701,106.0,260.0,100.0,40.9,87.5
Pakistan,PAK,South Asia,2021,7.23,65.773,107.0,270.0,97.5,40.1,81.94
Pakistan,PAK,South Asia,2022,6.513,67.417,85.0,275.0,93.1,55.4,95.21
Myanmar,MMR,Southeast Asia,2010,9.212,63.479,129.0,500.0,100.0,37.5,73.69
Myanmar,MMR,Southeast Asia,2011,9.125,63.859,137.0,476.0,99.0,32.5,61.01
Myanmar,MMR,Southeast Asia,2012,9.043,64.251,164.0,453.0,91.2,46.3,65.65
Myanmar,MMR,Southeast Asia,2013,8.982,64.617,127.0,431.0,95.5,29.8,80.56
Myanmar,MMR,Southeast Asia,2014,8.92,64.994,125.0,411.0,92.1,44.9,81.07
Myanmar,MMR,Southeast Asia,2015,8.904,65.288,116.0,391.0,89.5,45.9,76.23
Myanmar,MMR,Southeast Asia,2016,8.861,65.64,77.0,372.0,100.0,40.1,79.37
Myanmar,MMR,Southeast Asia,2017,8.855,65.909,112.0,355.0,100.0,46.2,92.32
Myanmar,MMR,Southeast Asia,2018,8.827,66.232,111.0,338.0,89.5,34.9,75.24
Myanmar,MMR,Southeast Asia,2019,8.847,66.457,158.0,322.0,99.3,53.2,87.76
Myanmar,MMR,Southeast Asia,2020,8.994,66.612,103.0,316.0,93.1,45.0,81.04
Myanmar,MMR,Southeast Asia,2021,9.819,65.553,122.0,353.0,93.6,38.0,75.59
Myanmar,MMR,Southeast Asia,2022,9.18,66.506,107.0,434.0,93.4,54.4,93.52
Mozambique,MOZ,Southern Africa,2010,11.543,55.04,176.0,357.0,91.1,10.0,33.45
Mozambique,MOZ,Southern Africa,2011,11.108,55.733,217.0,359.0,95.8,10.0,36.8
Mozambique,MOZ,Southern Africa,2012,10.665,56.46,203.0,361.0,91.6,10.0,45.35
Mozambique,MOZ,Southern Africa,2013,10.233,57.189,198.0,361.0,97.3,13.6,36.16
Mozambique,MOZ,Southern Africa,2014,9.779,57.965,158.0,361.0,95.8,10.0,46.64
Mozambique,MOZ,Southern Africa,2015,9.371,58.711,198.0,361.0,95.1,28.9,40.45
Mozambique,MOZ,Southern Africa,2016,8.984,59.455,136.0,361.0,91.9,10.0,50.52
Mozambique,MOZ,Southern Africa,2017,8.633,60.148,171.0,361.0,93.7,34.2,49.44
Mozambique,MOZ,Southern Africa,2018,8.324,60.79,197.0,361.0,100.0,24.8,54.92
Mozambique,MOZ,Southern Africa,2019,8.078,61.306,130.0,361.0,99.3,24.5,62.48
Mozambique,MOZ,Southern Africa,2020,8.007,61.39,138.0,361.0,91.9,21.2,48.77
Mozambique,MOZ,Southern Africa,2021,8.403,60.268,160.0,361.0,97.1,24.3,72.26
Mozambique,MOZ,Southern Africa,2022,7.255,63.011,126.0,361.0,100.0,31.7,54.99
Zimbabwe,ZWE,Southern Africa,2010,12.745,51.925,194.0,416.0,86.6,10.0,5.0
Zimbabwe,ZWE,Southern Africa,2011,11.694,53.911,210.0,384.0,98.0,10.0,31.14
Zimbabwe,ZWE,Southern Africa,2012,10.946,55.386,176.0,355.0,92.3,10.0,34.85
Zimbabwe,ZWE,Southern Africa,2013,10.233,56.842,195.0,304.0,98.8,10.0,40.45
