country_name,country_code,region,year,under_5_mortality_rate,life_expectancy,tuberculosis_incidence,health_status
"Somalia, Fed. Rep.",SOM,,2010,16.617,48.9,220.0,Critical
"Somalia, Fed. Rep.",SOM,,2011,32.124,32.453,204.0,Critical
"Somalia, Fed. Rep.",SOM,,2012,16.102,49.138,192.0,Critical
"Somalia, Fed. Rep.",SOM,,2013,12.893,54.016,187.0,Critical
"Somalia, Fed. Rep.",SOM,,2014,12.637,54.442,188.0,Critical
"Somalia, Fed. Rep.",SOM,,2015,12.292,55.056,187.0,Critical
"Somalia, Fed. Rep.",SOM,,2016,12.054,55.283,184.0,Critical
"Somalia, Fed. Rep.",SOM,,2017,14.073,52.19,182.0,Critical
"Somalia, Fed. Rep.",SOM,,2018,12.391,54.767,179.0,Critical
"Somalia, Fed. Rep.",SOM,,2019,10.908,57.249,175.0,Critical
"Somalia, Fed. Rep.",SOM,,2020,10.834,57.095,171.0,Critical
"Somalia, Fed. Rep.",SOM,,2021,11.3,55.703,167.0,Critical
"Somalia, Fed. Rep.",SOM,,2022,12.812,53.931,162.0,Critical
"Yemen, Rep.",YEM,,2010,5.586,67.223,45.0,Moderate
"Yemen, Rep.",YEM,,2011,5.474,67.412,42.0,Moderate
"Yemen, Rep.",YEM,,2012,5.425,67.569,47.0,Moderate
"Yemen, Rep.",YEM,,2013,5.294,67.961,48.0,Moderate
"Yemen, Rep.",YEM,,2014,5.29,68.003,43.0,Moderate
"Yemen, Rep.",YEM,,2015,5.773,66.761,33.0,Moderate
"Yemen, Rep.",YEM,,2016,5.647,67.105,40.0,Moderate
"Yemen, Rep.",YEM,,2017,5.644,67.12,40.0,Moderate
"Yemen, Rep.",YEM,,2018,6.114,65.915,39.0,High
"Yemen, Rep.",YEM,,2019,5.859,66.567,39.0,Moderate
"Yemen, Rep.",YEM,,2020,5.832,66.435,33.0,Moderate
"Yemen, Rep.",YEM,,2021,5.953,66.019,34.0,Moderate
"Yemen, Rep.",YEM,,2022,5.232,67.952,36.0,Moderate
Burundi,BDI,East Africa,2010,10.509,57.088,154.0,Critical
Burundi,BDI,East Africa,2011,10.072,57.804,148.0,Critical
Burundi,BDI,East Africa,2012,9.601,58.501,142.0,Critical
Burundi,BDI,East Africa,2013,9.201,59.179,136.0,Critical
Burundi,BDI,East Africa,2014,8.845,59.764,130.0,Critical
