country_name,region,year,under_5_mortality_rate
"Somalia, Fed. Rep.",,2022,12.812
Nigeria,West Africa,2022,11.953
Myanmar,Southeast Asia,2022,9.18
"Congo, Dem. Rep.",Sub-Saharan Africa,2022,8.93
Zimbabwe,Southern Africa,2022,7.779
Mozambique,Southern Africa,2022,7.255
Kenya,East Africa,2022,7.212
Burundi,East Africa,2022,6.997
Pakistan,South Asia,2022,6.513
Ethiopia,East Africa,2022,6.093
Rwanda,East Africa,2022,5.993
Afghanistan,South Asia,2022,5.993
"Yemen, Rep.",,2022,5.232
Uganda,East Africa,2022,5.035
Syrian Arab Republic,Middle East,2022,4.773
