country_name,region,mortality_2010,mortality_2022,change,pct_change
Syrian Arab Republic,Middle East,3.824,4.773,0.95,24.8
Myanmar,Southeast Asia,9.212,9.18,-0.03,-0.3
Kenya,East Africa,7.424,7.212,-0.21,-2.9
"Yemen, Rep.",,5.586,5.232,-0.35,-6.3
Pakistan,South Asia,7.691,6.513,-1.18,-15.3
Rwanda,East Africa,7.347,5.993,-1.35,-18.4
Afghanistan,South Asia,8.402,5.993,-2.41,-28.7
Nigeria,West Africa,14.36,11.953,-2.41,-16.8
"Congo, Dem. Rep.",Sub-Saharan Africa,11.654,8.93,-2.72,-23.4
Ethiopia,East Africa,8.98,6.093,-2.89,-32.1
Uganda,East Africa,8.263,5.035,-3.23,-39.1
Burundi,East Africa,10.509,6.997,-3.51,-33.4
"Somalia, Fed. Rep.",,16.617,12.812,-3.81,-22.9
Mozambique,Southern Africa,11.543,7.255,-4.29,-37.1
Zimbabwe,Southern Africa,12.745,7.779,-4.97,-39.0
