country_name,region,year,under_5_mortality_rate,rank_in_region
"Somalia, Fed. Rep.",,2022,12.812,1
"Yemen, Rep.",,2022,5.232,2
Kenya,East Africa,2022,7.212,1
Burundi,East Africa,2022,6.997,2
Ethiopia,East Africa,2022,6.093,3
Rwanda,East Africa,2022,5.993,4
Uganda,East Africa,2022,5.035,5
Syrian Arab Republic,Middle East,2022,4.773,1
Pakistan,South Asia,2022,6.513,1
Afghanistan,South Asia,2022,5.993,2
Myanmar,Southeast Asia,2022,9.18,1
Zimbabwe,Southern Africa,2022,7.779,1
Mozambique,Southern Africa,2022,7.255,2
"Congo, Dem. Rep.",Sub-Saharan Africa,2022,8.93,1
Nigeria,West Africa,2022,11.953,1
