country_name,region,year,under_5_mortality_rate,prev_year_mortality,year_over_year_change
Afghanistan,South Asia,2010,8.402,,
Afghanistan,South Asia,2011,8.032,8.402,-0.37
Afghanistan,South Asia,2012,7.822,8.032,-0.21
Afghanistan,South Asia,2013,7.597,7.822,-0.22
Afghanistan,South Asia,2014,7.511,7.597,-0.09
Afghanistan,South Asia,2015,7.528,7.511,0.02
Afghanistan,South Asia,2016,7.32,7.528,-0.21
Afghanistan,South Asia,2017,7.315,7.32,-0.0
Afghanistan,South Asia,2018,7.271,7.315,-0.04
Afghanistan,South Asia,2019,7.064,7.271,-0.21
Afghanistan,South Asia,2020,7.565,7.064,0.5
Afghanistan,South Asia,2021,8.002,7.565,0.44
Afghanistan,South Asia,2022,5.993,8.002,-2.01
Burundi,East Africa,2010,10.509,,
Burundi,East Africa,2011,10.072,10.509,-0.44
Burundi,East Africa,2012,9.601,10.072,-0.47
Burundi,East Africa,2013,9.201,9.601,-0.4
Burundi,East Africa,2014,8.845,9.201,-0.36
Burundi,East Africa,2015,8.688,8.845,-0.16
Burundi,East Africa,2016,8.209,8.688,-0.48
Burundi,East Africa,2017,7.864,8.209,-0.34
Burundi,East Africa,2018,7.559,7.864,-0.3
Burundi,East Africa,2019,7.394,7.559,-0.17
Burundi,East Africa,2020,7.191,7.394,-0.2
Burundi,East Africa,2021,7.306,7.191,0.12
Burundi,East Africa,2022,6.997,7.306,-0.31
"Congo, Dem. Rep.",Sub-Saharan Africa,2010,11.654,,
"Congo, Dem. Rep.",Sub-Saharan Africa,2011,11.367,11.654,-0.29
"Congo, Dem. Rep.",Sub-Saharan Africa,2012,11.113,11.367,-0.25
"Congo, Dem. Rep.",Sub-Saharan Africa,2013,10.844,11.113,-0.27
"Congo, Dem. Rep.",Sub-Saharan Africa,2014,10.595,10.844,-0.25
"Congo, Dem. Rep.",Sub-Saharan Africa,2015,10.349,10.595,-0.25
"Congo, Dem. Rep.",Sub-Saharan Africa,2016,10.076,10.349,-0.27
"Congo, Dem. Rep.",Sub-Saharan Africa,2017,9.867,10.076,-0.21
"Congo, Dem. Rep.",Sub-Saharan Africa,2018,9.647,9.867,-0.22
"Congo, Dem. Rep.",Sub-Saharan Africa,2019,9.46,9.647,-0.19
"Congo, Dem. Rep.",Sub-Saharan Africa,2020,9.31,9.46,-0.15
"Congo, Dem. Rep.",Sub-Saharan Africa,2021,9.38,9.31,0.07
"Congo, Dem. Rep.",Sub-Saharan Africa,2022,8.93,9.38,-0.45
Ethiopia,East Africa,2010,8.98,,
Ethiopia,East Africa,2011,8.534,8.98,-0.45
Ethiopia,East Africa,2012,8.118,8.534,-0.42
Ethiopia,East Africa,2013,7.78,8.118,-0.34
Ethiopia,East Africa,2014,7.461,7.78,-0.32
Ethiopia,East Africa,2015,7.206,7.461,-0.25
Ethiopia,East Africa,2016,6.999,7.206,-0.21
Ethiopia,East Africa,2017,6.786,6.999,-0.21
Ethiopia,East Africa,2018,6.631,6.786,-0.15
Ethiopia,East Africa,2019,6.481,6.631,-0.15
Ethiopia,East Africa,2020,6.403,6.481,-0.08
Ethiopia,East Africa,2021,6.638,6.403,0.24
Ethiopia,East Africa,2022,6.093,6.638,-0.54
Kenya,East Africa,2010,7.424,,
Kenya,East Africa,2011,7.275,7.424,-0.15
Kenya,East Africa,2012,7.208,7.275,-0.07
Kenya,East Africa,2013,7.175,7.208,-0.03
Kenya,East Africa,2014,7.149,7.175,-0.03
Kenya,East Africa,2015,7.14,7.149,-0.01
Kenya,East Africa,2016,7.169,7.14,0.03
Kenya,East Africa,2017,7.126,7.169,-0.04
Kenya,East Africa,2018,7.186,7.126,0.06
Kenya,East Africa,2019,7.294,7.186,0.11
Kenya,East Africa,2020,7.937,7.294,0.64
Kenya,East Africa,2021,8.124,7.937,0.19
Kenya,East Africa,2022,7.212,8.124,-0.91
Mozambique,Southern Africa,2010,11.543,,
Mozambique,Southern Africa,2011,11.108,11.543,-0.43
Mozambique,Southern Africa,2012,10.665,11.108,-0.44
Mozambique,Southern Africa,2013,10.233,10.665,-0.43
Mozambique,Southern Africa,2014,9.779,10.233,-0.45
Mozambique,Southern Africa,2015,9.371,9.779,-0.41
Mozambique,Southern Africa,2016,8.984,9.371,-0.39
Mozambique,Southern Africa,2017,8.633,8.984,-0.35
Mozambique,Southern Africa,2018,8.324,8.633,-0.31
Mozambique,Southern Africa,2019,8.078,8.324,-0.25
Mozambique,Southern Africa,2020,8.007,8.078,-0.07
Mozambique,Southern Africa,2021,8.403,8.007,0.4
Mozambique,Southern Africa,2022,7.255,8.403,-1.15
Myanmar,Southeast Asia,2010,9.212,,
Myanmar,Southeast Asia,2011,9.125,9.212,-0.09
Myanmar,Southeast Asia,2012,9.043,9.125,-0.08
Myanmar,Southeast Asia,2013,8.982,9.043,-0.06
Myanmar,Southeast Asia,2014,8.92,8.982,-0.06
Myanmar,Southeast Asia,2015,8.904,8.92,-0.02
Myanmar,Southeast Asia,2016,8.861,8.904,-0.04
Myanmar,Southeast Asia,2017,8.855,8.861,-0.01
Myanmar,Southeast Asia,2018,8.827,8.855,-0.03
Myanmar,Southeast Asia,2019,8.847,8.827,0.02
Myanmar,Southeast Asia,2020,8.994,8.847,0.15
Myanmar,Southeast Asia,2021,9.819,8.994,0.83
Myanmar,Southeast Asia,2022,9.18,9.819,-0.64
Nigeria,West Africa,2010,14.36,,
Nigeria,West Africa,2011,14.203,14.36,-0.16
Nigeria,West Africa,2012,14.019,14.203,-0.18
Nigeria,West Africa,2013,13.864,14.019,-0.15
Nigeria,West Africa,2014,13.736,13.864,-0.13
Nigeria,West Africa,2015,13.656,13.736,-0.08
Nigeria,West Africa,2016,13.408,13.656,-0.25
Nigeria,West Africa,2017,13.192,13.408,-0.22
Nigeria,West Africa,2018,12.952,13.192,-0.24
Nigeria,West Africa,2019,12.679,12.952,-0.27
Nigeria,West Africa,2020,12.586,12.679,-0.09
Nigeria,West Africa,2021,12.306,12.586,-0.28
Nigeria,West Africa,2022,11.953,12.306,-0.35
Pakistan,South Asia,2010,7.691,,
Pakistan,South Asia,2011,7.575,7.691,-0.12
Pakistan,South Asia,2012,7.482,7.575,-0.09
Pakistan,South Asia,2013,7.377,7.482,-0.11
Pakistan,South Asia,2014,7.272,7.377,-0.1
Pakistan,South Asia,2015,7.164,7.272,-0.11
Pakistan,South Asia,2016,7.039,7.164,-0.13
Pakistan,South Asia,2017,6.94,7.039,-0.1
Pakistan,South Asia,2018,6.852,6.94,-0.09
Pakistan,South Asia,2019,6.772,6.852,-0.08
Pakistan,South Asia,2020,7.301,6.772,0.53
Pakistan,South Asia,2021,7.23,7.301,-0.07
Pakistan,South Asia,2022,6.513,7.23,-0.72
Rwanda,East Africa,2010,7.347,,
Rwanda,East Africa,2011,7.043,7.347,-0.3
Rwanda,East Africa,2012,6.759,7.043,-0.28
Rwanda,East Africa,2013,6.598,6.759,-0.16
Rwanda,East Africa,2014,6.478,6.598,-0.12
Rwanda,East Africa,2015,6.401,6.478,-0.08
Rwanda,East Africa,2016,6.336,6.401,-0.06
Rwanda,East Africa,2017,6.234,6.336,-0.1
Rwanda,East Africa,2018,6.206,6.234,-0.03
Rwanda,East Africa,2019,6.132,6.206,-0.07
Rwanda,East Africa,2020,6.089,6.132,-0.04
Rwanda,East Africa,2021,6.185,6.089,0.1
Rwanda,East Africa,2022,5.993,6.185,-0.19
"Somalia, Fed. Rep.",,2010,16.617,,
"Somalia, Fed. Rep.",,2011,32.124,16.617,15.51
"Somalia, Fed. Rep.",,2012,16.102,32.124,-16.02
"Somalia, Fed. Rep.",,2013,12.893,16.102,-3.21
"Somalia, Fed. Rep.",,2014,12.637,12.893,-0.26
"Somalia, Fed. Rep.",,2015,12.292,12.637,-0.35
"Somalia, Fed. Rep.",,2016,12.054,12.292,-0.24
"Somalia, Fed. Rep.",,2017,14.073,12.054,2.02
"Somalia, Fed. Rep.",,2018,12.391,14.073,-1.68
"Somalia, Fed. Rep.",,2019,10.908,12.391,-1.48
"Somalia, Fed. Rep.",,2020,10.834,10.908,-0.07
"Somalia, Fed. Rep.",,2021,11.3,10.834,0.47
"Somalia, Fed. Rep.",,2022,12.812,11.3,1.51
Syrian Arab Republic,Middle East,2010,3.824,,
Syrian Arab Republic,Middle East,2011,4.334,3.824,0.51
Syrian Arab Republic,Middle East,2012,6.829,4.334,2.5
Syrian Arab Republic,Middle East,2013,7.514,6.829,0.69
Syrian Arab Republic,Middle East,2014,7.353,7.514,-0.16
Syrian Arab Republic,Middle East,2015,8.223,7.353,0.87
Syrian Arab Republic,Middle East,2016,7.323,8.223,-0.9
Syrian Arab Republic,Middle East,2017,7.246,7.323,-0.08
Syrian Arab Republic,Middle East,2018,6.544,7.246,-0.7
Syrian Arab Republic,Middle East,2019,5.284,6.544,-1.26
Syrian Arab Republic,Middle East,2020,5.058,5.284,-0.23
Syrian Arab Republic,Middle East,2021,4.964,5.058,-0.09
Syrian Arab Republic,Middle East,2022,4.773,4.964,-0.19
Uganda,East Africa,2010,8.263,,
Uganda,East Africa,2011,7.824,8.263,-0.44
Uganda,East Africa,2012,7.419,7.824,-0.41
Uganda,East Africa,2013,7.038,7.419,-0.38
Uganda,East Africa,2014,6.699,7.038,-0.34
Uganda,East Africa,2015,6.372,6.699,-0.33
Uganda,East Africa,2016,6.073,6.372,-0.3
Uganda,East Africa,2017,5.82,6.073,-0.25
Uganda,East Africa,2018,5.613,5.82,-0.21
Uganda,East Africa,2019,5.42,5.613,-0.19
Uganda,East Africa,2020,5.373,5.42,-0.05
