Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,AFG,Incidence of tuberculosis (per 100000),SH.TBS.INCD,218.0,204.0,194.0,194.0,197.0,200.0,204.0,209.0,212.0,213.0,205.0,206.0,206.0
Afghanistan,AFG,Life expectancy at birth (years),SP.DYN.LE00.IN,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617
Afghanistan,AFG,"Mortality rate, under-5 (per 1000 live births)",SP.DYN.CDRT.IN,8.402,8.032,7.822,7.597,7.511,7.528,7.32,7.315,7.271,7.064,7.565,8.002,5.993
Burundi,BDI,Incidence of tuberculosis (per 100000),SH.TBS.INCD,154.0,148.0,142.0,136.0,130.0,124.0,118.0,112.0,106.0,102.0,97.0,93.0,89.0
Burundi,BDI,Life expectancy at birth (years),SP.DYN.LE00.IN,57.088,57.804,58.501,59.179,59.764,60.107,60.789,61.345,61.806,62.18,62.569,62.101,62.882
Burundi,BDI,"Mortality rate, under-5 (per 1000 live births)",SP.DYN.CDRT.IN,10.509,10.072,9.601,9.201,8.845,8.688,8.209,7.864,7.559,7.394,7.191,7.306,6.997
"Congo, Dem. Rep.",COD,Incidence of tuberculosis (per 100000),SH.TBS.INCD,500.0,490.0,480.0,471.0,461.0,452.0,443.0,434.0,426.0,417.0,409.0,401.0,392.0
"Congo, Dem. Rep.",COD,Life expectancy at birth (years),SP.DYN.LE00.IN,56.411,56.911,57.35,57.795,58.236,58.658,59.081,59.495,59.926,60.242,60.428,60.044,60.979
"Congo, Dem. Rep.",COD,"Mortality rate, under-5 (per 1000 live births)",SP.DYN.CDRT.IN,11.654,11.367,11.113,10.844,10.595,10.349,10.076,9.867,9.647,9.46,9.31,9.38,8.93
Ethiopia,ETH,Incidence of tuberculosis (per 100000),SH.TBS.INCD,269.0,253.0,238.0,224.0,211.0,200.0,189.0,179.0,170.0,163.0,156.0,151.0,146.0
Ethiopia,ETH,Life expectancy at birth (years),SP.DYN.LE00.IN,59.709,60.595,61.443,62.161,62.927,63.592,64.162,64.766,65.257,65.741,65.969,65.33,66.897
Ethiopia,ETH,"Mortality rate, under-5 (per 1000 live births)",SP.DYN.CDRT.IN,8.98,8.534,8.118,7.78,7.461,7.206,6.999,6.786,6.631,6.481,6.403,6.638,6.093
Kenya,KEN,Incidence of tuberculosis (per 100000),SH.TBS.INCD,531.0,506.0,471.0,443.0,423.0,380.0,348.0,319.0,292.0,267.0,248.0,247.0,238.0
Kenya,KEN,Life expectancy at birth (years),SP.DYN.LE00.IN,60.915,61.283,61.537,61.729,61.99,62.279,62.526,62.725,62.825,62.939,61.596,61.225,63.549
Kenya,KEN,"Mortality rate, under-5 (per 1000 live births)",SP.DYN.CDRT.IN,7.424,7.275,7.208,7.175,7.149,7.14,7.169,7.126,7.186,7.294,7.937,8.124,7.212
